enzyme,buffer,incubation_c,inactivate_c,inactivate_min,time_saver,stock_u_per_ul,notes,source
HinP1I,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HpaI,rCutSmart,37,0,0,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HpaII,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HphI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HpyAV,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HpyCH4III,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HpyCH4IV,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HpyCH4V,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Hpy99I,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Hpy188I,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Hpy166II,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Hpy188III,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
I-CeuI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
I-SceI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
KasI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
KpnI-HF,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MboI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MboII,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MfeI-HF,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MluCI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MluI-HF,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MlyI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MmeI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MnlI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MscI,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MseI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MslI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MspA1I,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MspI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MspJI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
MwoI,rCutSmart,60,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NaeI,rCutSmart,37,0,0,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NarI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Nb.BbvCI,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Nb.BsmI,NEBuffer r3.1,65,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Nb.BsrDI,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Nb.BssSI,NEBuffer r3.1,37,0,0,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Nb.BtsI,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NciI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NcoI,NEBuffer r3.1,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NcoI-HF,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NdeI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NgoMIV,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NheI-HF,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NlaIII,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NlaIV,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NmeAIII,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NotI,NEBuffer r3.1,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NotI-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NruI-HF,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NsiI,NEBuffer r3.1,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NsiI-HF,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
NspI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Nt.AlwI,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Nt.BbvCI,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Nt.BsmAI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Nt.BspQI,NEBuffer r3.1,50,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Nt.BstNBI,NEBuffer r3.1,55,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Nt.CviPII,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PacI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PaeR7I,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PaqCI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PciI,NEBuffer r3.1,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PflFI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PflMI,NEBuffer r3.1,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PI-PspI,NEBuffer PI-PspI + rAlbumin,65,0,0,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PI-SceI,NEBuffer PI-SceI + rAlbumin,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PleI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PluTI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PmeI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PmlI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PpuMI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PshAI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PsiI-v2,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PspGI,rCutSmart,75,0,0,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PspOMI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PspXI,rCutSmart,37,0,0,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PstI,NEBuffer r3.1,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PstI-HF,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PvuI-HF,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PvuII,NEBuffer r3.1,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
PvuII-HF,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
RsaI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
RsrII,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SacI-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SacII,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SalI,NEBuffer r3.1,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SalI-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SapI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Sau3AI,NEBuffer r1.1,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Sau96I,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SbfI-HF,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
ScaI-HF,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
ScrFI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SexAI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SfaNI,NEBuffer r3.1,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SfcI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SfiI,rCutSmart,50,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SfoI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SgrAI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SmaI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SmlI,rCutSmart,55,0,0,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SnaBI,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SpeI-HF,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SphI,NEBuffer r2.1,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SphI-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SrfI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SspI-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
StuI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
StyD4I,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
StyI-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
SwaI,NEBuffer r3.1,25,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
TaqI-v2,rCutSmart,65,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
TfiI,rCutSmart,65,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
TseI,rCutSmart,65,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Tsp45I,rCutSmart,65,0,0,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
TspMI,rCutSmart,75,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
TspRI,rCutSmart,65,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Tth111I,rCutSmart,65,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
WarmStart Nt.BstNBI,NEBuffer r3.1,55,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
XbaI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
XcmI,NEBuffer r2.1,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
XhoI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
XmaI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
XmnI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
ZraI,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
